Key,Id,English(en),Spanish(es),Italian(it),French(fr),Polish(pl),Ukrainian(uk),Russian(ru),German(de),Hungarian(hu),Romanian(ro),Arabic(ar)
"24_hours_of_le_mans",8827921425752064,"24 Hours of Le Mans","24 horas de Le Mans","24 ore di Le Mans","Les 24 Heures du Mans","24-godzinny wyścig Le Mans","24 години Ле-Мана","24 часа Ле-Мана","24 Stunden von Le Mans","24 órás Le Mans","24 de ore de la Le Mans","سباق لومان 24 ساعة"
"24_hours_of_le_mans.desc",8827921425752065,"A car race that lasts 24 hours. Teams drive day and night.","Una carrera de autos que dura 24 horas. Los equipos conducen día y noche.","Una gara automobilistica che dura 24 ore. Le squadre guidano giorno e notte.","C'est une course automobile qui dure 24 heures. Les équipes conduisent jour et nuit.","Wyścig samochodowy trwający 24 godziny. Zespoły ścigają się dniem i nocą.","Автомобільна гонка, яка триває 24 години. Бригади їздять вдень і вночі.","Автогонка, которая длится 24 часа. Команды участвуют в гонках днём и ночью.","Ein Autorennen, das 24 Stunden dauert. Die Teams fahren Tag und Nacht.","24 órán át tartó autóverseny. A csapatok éjjel-nappal vezetnek.","O cursă de mașini care durează 24 de ore. Echipele conduc zi și noapte.","سباق سيارات يستمر ٢٤ ساعة. تتنافس الفرق ليلًا ونهارًا."
"alps",8827921434140672,"Alps","Alpes","Alpi","Les Alpes","Alpy","Альпи","Альпы","Alpen","Alpok","Alpi","جبال الألب"
"alps.desc",8827921434140673,"A tall mountain range in Europe.","Una alta cadena montañosa en Europa.","Un'alta catena montuosa in Europa.","Une haute chaîne de montagnes en Europe.","Wysokie pasmo górskie w Europie.","Високий гірський масив у Європі.","Высокий горный хребет в Европе.","Eine hohe Bergkette in Europa.","Magas hegység Európában.","Un lanț muntos înalt în Europa.","سلسلة جبلية عالية في أوروبا."
"amber",8827921434140674,"Amber","Ámbar","Ambra","Ambre","Bursztyn","Бурштин","Янтарь","Bernstein","Borostyán","Chihlimbar","العنبر"
"amber_room",8827921434140676,"Amber Room","Sala de Ámbar","Camera d'Ambra","Chambre d'ambre","Bursztynowa Komnata","Бурштинова кімната","Янтарная комната","Bernsteinzimmer","Borostyánszoba","Camera de chihlimbar","غرفة العنبر"
"amber_room.desc",8827921434140677,"A famous room made of amber with a mysterious history.","Una famosa habitación hecha de ámbar con una historia misteriosa.","Una famosa stanza fatta di ambra con una storia misteriosa.","Une célèbre pièce en ambre avec une histoire mystérieuse.","Słynny pokój z bursztynu o tajemniczej historii.","Знаменита кімната з бурштину із загадковою історією.","Знаменитая комната из янтаря с загадочной историей.","Ein berühmter Raum aus Bernstein mit einer geheimnisvollen Geschichte.","Egy híres borostyánszoba titokzatos történelemmel.","O cameră celebră din chihlimbar cu o istorie misterioasă.","غرفة مشهورة مصنوعة من العنبر ولها تاريخ غامض."
"amber.desc",8827921434140675,"Shiny fossil tree resin called 'Baltic Gold'.","Resina de árbol fósil brillante llamada 'Oro Báltico'.","Resina fossile lucida di albero chiamata ""oro baltico"".","L'ambre est utilisée pour faire des bijoux.","Błyszcząca, skamieniała żywica drzew iglastych zwana ""złotem Bałtyku"".","Блискуча смола викопних дерев під назвою «Балтійське золото».","Блестящая окаменевшая древесная смола, называемая «Балтийское золото».","Glänzendes fossiles Baumharz namens „Baltic Gold“.","Fényes fosszilis fagyanta, az úgynevezett ""Baltic Gold"".","Rășină strălucitoare de copac fosil numită „Aur Baltic”.","شجرة راتنجية متحجرة لامعة تسمى ""الذهب البلطيقي""."
"animal_chimpanzee",16699856453099520,"Chimpanzee","Chimpancé","Scimpanzé","Le chimpanzé","Szympans","Шимпанзе","Шимпанзе","Schimpanse","Csimpánz","Cimpanzeu","الشمبانزي"
"animal_chimpanzee.desc",16699856482459648,"Smart and playful, it loves to climb trees. It uses sticks and stones like little tools!","Inteligente y juguetón, le encanta trepar a los árboles. ¡Usa palos y piedras como pequeñas herramientas!","Intelligente e giocoso, ama arrampicarsi sugli alberi. Usa bastoni e pietre come piccoli utensili!","C'est un singe intelligent et joueur. Il adore grimper aux arbres.","Sprytny i wesoły, uwielbia wspinać się na drzewa. Używa patyków i kamieni jak małych narzędzi!","Розумний і грайливий, він любить лазити по деревах. Він використовує палиці та каміння, як маленькі інструменти!","Умный и игривый, он обожает лазать по деревьям. Палки и камни он использует как маленькие инструменты!","Es ist klug und verspielt und liebt es, auf Bäume zu klettern. Es benutzt Stöcke und Steine ​​wie kleine Werkzeuge!","Okos és játékos, szeret fára mászni. Botokat és köveket használ, mint egy kis szerszámot!","Deștept și jucăuș, îi place să se cațere în copaci. Folosește bețe și pietre ca niște scule mici!","ذكي ومرح، يحب تسلق الأشجار. يستخدم العصي والحجارة كأدوات صغيرة!"
"animal_elephant",7717548228337664,"Elephant","Elefante","Elefante","L'éléphant","Słoń","слон","Слон","Elefant","Elefánt","Elefant","فيل"
"animal_elephant_adult",20437989829107712,"Adult elephant","Elefante adulto","Elefante adulto","Un éléphant adulte","Dorosły słoń","Дорослий слон","Взрослый слон","Erwachsener Elefant","Felnőtt elefánt","Elefant adult","فيل بالغ"
"animal_elephant_adult.desc",20437989829107713,"Big and strong, with long tusks and a loud trumpet. It cares for the herd and leads the way.","Grande y fuerte, con largos colmillos y una potente trompeta. Cuida de la manada y guía el camino.","Grande e forte, con lunghe zanne e un suono sonoro di tromba. Si prende cura della mandria e guida la strada.","C'est un animal grand et fort avec de longues défenses et une trompe.","Duży i silny, z długimi kłami i głośną trąbą. Troszczy się o stado i wskazuje drogę.","Великий і сильний, з довгими бивнями і голосною сурмою. Він доглядає за стадом і веде дорогу.","Большой и сильный, с длинными бивнями и громким трубным звуком. Он заботится о стаде и ведёт его за собой.","Groß und stark, mit langen Stoßzähnen und einem lauten Trompetenstoß. Es hütet die Herde und führt den Weg.","Nagy és erős, hosszú agyarral és hangos trombitával. Gondoskodik a csordáról, és utat mutat.","Mare și puternic, cu colți lungi și o trâmbiță puternică. Îi pasă de turmă și deschide calea.","كبير وقوي، ذو أنياب طويلة وبوق عالٍ. يهتم بالقطيع ويقوده."
"animal_elephant_baby",20437989829107714,"Baby elephant","Bebé elefante","Cucciolo di elefante","Un éléphanteau","Słoniątko","Слоненя","Слоненок","Elefantenbaby","Elefántbébi","Pui de elefant","فيل صغير"
"animal_elephant_baby.desc",20437989829107715,"Small and playful, it waves its tiny trunk. It loves to stay close to its mom.","Pequeño y juguetón, mueve su trompa. Le encanta estar cerca de su mamá.","Piccolo e giocoso, agita la sua piccola proboscide. Ama stare vicino alla mamma.","C'est un un bébé éléphant.","Mały i figlarny, macha swoją maleńką trąbą. Uwielbia przebywać blisko swojej mamy.","Маленький і грайливий, він махає своїм крихітним стовбуром. Воно любить бути поруч зі своєю мамою.","Маленький и игривый, он машет своим крошечным хоботком. Он любит быть рядом с мамой.","Es ist klein und verspielt, wedelt mit seinem winzigen Rüssel und bleibt gern in der Nähe seiner Mutter.","Kicsi és játékos, apró törzsét lengeti. Imád az anyja közelében lenni.","Mic și jucăuș, își flutură trunchiul minuscul. Îi place să stea aproape de mama sa.","صغير ومرح، يُلوّح بخرطومه الصغير. يُحبّ البقاء بالقرب من أمه."
